publication_number,title,abstract,publication_date,assignee,inventor,cpc_code
US-12029591-B2,Titration assist management dashboard,"Systems and methods of managing a plurality of patients undergoing titration using a management device. The method includes receiving, via a processor of a management device, a plurality of patient information from the plurality of patients, evaluating, via the processor of the management device, each patient based on patient information, determining, via the processor of the management device, a status of each patient, where the status is based on a progression of the titration based on titration assist parameters and determining, via the processor of the management device, a priority of each patient based on patient status. In some embodiments the method includes sorting that patients based on user input. In some embodiments, the plurality of patient information is received via remote communication with at least one of a programming device, an implantable medical device, or a home management device.",20240709,LIVANOVA USA INC,STUBBS SCOTT,G16H20/30
US-2024325195-A1,Cryotherapeutic treatment devices,"A medical device including a proximal end portion and a distal end portion opposite the proximal end portion. An elongate shaft is disposed between the proximal and distal end portions and defines a lumen therebetween. The distal end portion includes a plurality of tubes extending from a distal end of the elongate shaft, the plurality of tubes defining a fluid pathway therein in communication with the lumen for circulation of cryogenic fluid, the plurality of tubes having a common exhaust lumen in fluid communication with the lumen.",20241003,MEDTRONIC IRELAND MFG UNLIMITED COMPANY,LIMA CARLOS H,A61F2007/126
US-2024398255-A1,Exhaled gas measurement compensation during high flow respiratory therapy,"The present disclosure relates to determining a corrected exhaled gas measurement during high flow respiratory therapy. Measuring exhaled gas concentration during high flow respiratory therapy is difficult and inaccurate due to a phenomenon known as flushing. The high flows delivered to the patient flush the dead space in the conducting airways, which causes a dilution effect that results in underestimated or overestimated exhaled gas measurement depending on the gas composition delivered by the high flow system. This can lead to incorrect clinical measurements and diagnoses. Various algorithms are disclosed herein to account for the dilution effect caused by flushing, allowing for the method of measuring gas concentrations to still be used accurately for clinical measurements.",20241205,FISHER & PAYKEL HEALTHCARE LTD,EVANS ALICIA JERRAM HUNTER,A61M2230/432
US-2022285026-A1,Applying non-real time and non-user attended algorithms to the stored non-imaging data and existing imaging data to obtain a dental diagnosis,"The present invention is a method of making a diagnosis of a dental condition of a patient which includes the steps of collecting non-imaging data relating to the patient, storing the non-imaging data in a storage medium containing stored non-imaging data and existing imaging data for this patient and for a plurality of other patients and applying non-real time and non-user attended algorithms to the stored non-imaging data and the existing imaging data of this patient and other patients. The algorithms determine the diagnosis of the dental condition of the patient. The diagnosis either is complete or determines what new dental imaging data for the patient is required to be acquired to diagnose the dental condition of the patient. The non-imaging data includes non-clinical data and non-dental clinical data.",20220908,GOLAY DOUGLAS A,GOLAY DOUGLAS A,G06N5/041
US-2022288406-A1,Method and device for preventing or treating cataract,"A medical device according to the present invention is a medical device that includes an ion generating unit configured to generate a positive ion and a negative ion by discharge, and that prevents or treats a cataract by delivering the positive ion and the negative ion to a surface of an eye.",20220915,SHARP KK,YAMAMOTO SATOHIKO,A61F9/0008
US-2022400686-A1,Compositions and methods for on-demand release of antimicrobial agents,"The invention provides novel compounds and polymers, degradable hydrogel compositions, medical devices and implants, as well as methods thereof, that allow on-demand release and controlled delivery of antimicrobial agents.",20221222,UNIV MASSACHUSETTS,SONG JIE,A61K47/58
US-2022414181-A1,Method and device for translating between stochastic signals,"A source stochastic signal is deconstructed into its intrinsic components using a decomposition process. The intrinsic components are transformed, and a set of machine learning models are defined and trained to operate with individual ones of the transformed components. The source stochastic signal is thus empirically broken down into underlying components which are then used as learning datasets for the set of machine learning models to predict target components. The target components are then individually predicted and combined to reconstruct a predicted target stochastic signal. The source stochastic signal and the target stochastic signals can be biological signals having a related or common origin, such as photoplethysmogram signals and arterial blood pressure waveforms.",20221229,ANALOG DEVICES INTERNATIONAL UNLIMITED CO,BOLGER EOIN SEAMUS,G06N3/08
US-2023340605-A1,"Biomarkers predicting clinical response of a vegf-a inhibitory drug in cancer patients, method for their selection and use","The present disclosure relates to biomarkers for predicting clinical response of a VEGF-A (vascular endothelial growth factor A) inhibitory drug in cancer therapy. In particular, the disclosure provides a multi-gene expression signature score named ViRP (VEGF inhibitory Response Predictor) able to predict response to a VEGF-A inhibitory drug in a patient being diagnosed with a solid cancerous tumor.",20231026,UNIV OSLO HF,MÆLANDSMO GUNHILD M,G01N33/57515
US-2021403594-A1,"Epcam antibodies, activatable antibodies, and immunoconjugates, and uses thereof","The disclosure generally relates to antibodies and antibody fragments that specifically bind human EpCAM, EpCAM activatable antibodies, and immunoconjugates thereof, as well as, methods of making and using the antibodies, antibody fragments, activatable antibodies, and immunoconjugates, for the diagnosis and treatment of diseases such as cancer.",20211230,IMMUNOGEN INC,LIU YIMAO,A61K47/68035
US-2022327707-A1,"Program, information processing method, and information processing device","A program causes a computer to execute processing including: acquiring an endoscope image captured by an endoscope; inputting the acquired endoscope image into a plurality of learning models learned so as to output diagnosis support information regarding a lesion included in the endoscope image; acquiring a plurality of pieces of diagnosis support information output from each of the learning models; and outputting a plurality of pieces of the acquired diagnosis support information and information regarding each of the learning models in association with each other. Alternatively, the program causes the computer to execute the processing of inputting the acquired endoscope image into one learning model, executing a plurality of determination logics to acquire a plurality of pieces of output diagnosis support information, and outputting a plurality of pieces of the acquired diagnosis support information and information regarding each of the learning models in association with each other is executed.",20221013,HOYA CORP,NISHIDE AKIHIKO,G16H50/20
US-2023135995-A1,Multi-slice mri data processing using deep learning techniques,"Disclosed herein are systems, methods, and instrumentalities associated with reconstructing magnetic resonance (MR) images based on multi-slice, under-sampled MRI data (e.g., k-space data). The multi-slice MRI data may be acquired using a simultaneous multi-slice (SMS) technique and MRI information associated with multiple MRI slices may be entangled in the multi-slice MRI data. A neural network may be trained and used to disentangle the MRI information and reconstruct MRI images for the different slices. A data consistency component may be used to estimate k-space data based on estimates made by the neural network, from which respective MRI images associated with multiple MRI slices may be obtained by applying a Fourier transform to the k-space data.",20230504,SHANGHAI UNITED IMAGING INTELLIGENCE CO LTD,CHEN XIAO,G06T12/30
US-2023285111-A1,Validation of decontamination procedures for a medical device,"Disclosed is a method for validating a decontamination procedure performed on a medical device using a decontamination system. The method comprises capturing a video stream of a work area in which the decontamination procedure is carried out by a user, analysing the video stream to identify one or more decontamination events in the video stream that correspond with the decontamination procedure being correctly performed on the medical device, the decontamination event or at least one of the decontamination events comprising applying a decontaminating composition of the decontamination system to the medical device using a wipe, determining, based on the or each identified decontamination event, if the decontamination procedure has been completed, and upon determining that the decontamination procedure has been completed, causing a corresponding indication to be provided to the user. The method may include alerting the user to potential errors and/or logging data to provide an audit trail.",20230914,TRISTEL PLC,BRAND THOMAS,A61L2/28
US-2023390555-A1,Medical device for providing relief in fascia-related muscle pain and stiffness,"A medical device for providing relief in unhealthy fascia-related medical conditions, such as pain and stiffness. The apparatus includes a handpiece and a probe for applying a combination of bipolar radiofrequency energy and pressure to the affected area. The device also includes a heating plate for heating the affected area to further enhance the efficiency of the medical device.",20231207,STAVALE JESSICA,STAVALE JESSICA,A61N1/36021
US-2024041536-A1,Affected region display associated with a medical device,A system and method for providing image guidance for placement of one or more medical devices at a target location. The system can be used to determine one or more affected regions corresponding to the operation of one or more medical devices and display at least a portion of the one or more affected regions. The affected regions can correspond to predicted affected regions and/or dynamic affected regions and can be based at least in part on a variance parameter of the medical device.,20240208,INNEROPTIC TECH INC,STATE ANDREI,A61B34/20
US-12161426-B2,"Artificial intelligence coregistration and marker detection, including machine learning and using results thereof","One or more devices, systems, methods, and storage mediums using artificial intelligence application(s) using an apparatus or system that uses and/or controls one or more imaging modalities, such as, but not limited to, angiography, Optical Coherence Tomography (OCT), Multi-modality OCT, near-infrared fluorescence (NIRAF), OCT-NIRAF, etc. are provided herein. Examples of AI applications discussed herein, include, but are not limited to, using one or more of: AI coregistration, AI marker detection, deep or machine learning, computer vision or image recognition task(s), keypoint detection, feature extraction, model training, input data preparation techniques, input mapping to the model, post-processing, and/or interpretation of output data, one or more types of machine learning models (including, but not limited to, segmentation, regression, combining or repeating regression and/or segmentation), marker detection success rates, and/or co-registration success rates to improve or optimize marker detection and/or co-registration.",20241210,CANON USA INC,KUNIO MIE,G06T2207/30204
US-2023053003-A1,Metal alloys for medical devices,"A medical device and a method and process for at least partially forming a medical device, which medical device has improved physical properties.",20230216,MIRUS LLC,ROTH NOAH,C22C27/04
US-2023075408-A1,Methods and systems for interactively counseling a user with respect to supervised content,"The present disclosure is directed to interactively counseling a user with respect to supervised content. In particular, the methods and systems of the present disclosure may: determine, based at least in part on one or more machine learning (ML) models, that one or more interfaces displayed to a user include content of a content type designated by a content supervisor of the user for identification; and, responsive to determining that the interface(s) displayed to the user include content of the content type designated for identification, generate data representing a graphical user interface (GUI) for presentation to the user, the GUI indicating detection of the content of the content type and comprising interactive educational material counseling the user with respect to the content type.",20230309,Safe Kids LLC,VALLIANI ABBAS,G16H40/67
US-2023278969-A1,"Certain (2s)-n-[(1s)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamides as dipeptidyl peptidase 1 inhibitors","The present disclosure relates to certain (2S)-N-[(1S)-1-cyano-2-phenylethyl]-1,4-oxazepane-2-carboxamide compounds (including pharmaceutically acceptable salts thereof),that inhibit dipeptidyl peptidase 1 (DPP1) activity, to their utility in treating and/or preventing clinical conditions including respiratory diseases, such as asthma and chronic obstructive pulmonary disease (COPD), to their use in therapy, to pharmaceutical compositions containing them and to processes for preparing such compounds.",20230907,ASTRAZENECA AB,LÖNN Hans Roland,C07D267/10
US-2023301542-A1,Brain atlas individualization method and system based on magnetic resonance and twin graph neural network,"The present disclosure discloses a brain atlas individualization method and system based on magnetic resonance and a twin graph neural network. Firstly, a feature is extracted from resting-state functional magnetic resonance imaging (rs-fMRI) by utilizing functional connectivity based on a region-of-interest, and at the same time, Fisher transformation and exponential transformation are performed on the feature; secondly, a corresponding adjacent matrix is extracted from T1-weighted magnetic resonance data in a data set; and then the twin graph neural network is designed for training and testing with the transformed feature and the adjacent matrix as inputs and a group atlas label and a sampling mask as outputs.",20230928,Zhejiang Lab,ZHANG YU,G06N3/042
US-2023363721-A1,Apparatuses and systems for artifact reduction in electrodermal activity,"Methods, systems, non-transitory computer-readable media, and apparatuses are described for predicting a health condition of a subject. An apparatus may be configured to receive a physiological signal associated with the subject. The physiological signal may include artifacts. A modified physiological signal may be generated based on an application of a machine learning model to the physiological signal. The modified physiological signal may include the physiological signal with a reduction of the artifacts. A physiological measurement may be determined based on the modified physiological signal. The health condition may be determined based on a change in the physiological measurement satisfying a threshold. The apparatus may cause an output of an indication associated with the health condition.",20231116,UNIV CONNECTICUT,CHON KI,A61B5/7282
US-2022235343-A1,Novel adp-ribosyl cyclase and inhibitor thereof,"The present disclosure relates to a pharmaceutical composition containing an inhibitor against the expression or activation of a novel ADP-ribosyl cyclase or a naturally occurring variant thereof as an active ingredient for preventing or treating an ADP-ribosyl cyclase-mediated disease. In addition, the present disclosure relates to a composition for diagnosis of an ADP-ribosyl cyclase-mediated disease, the composition containing an agent for measuring a gene expression level or protein level of the ADP-ribosyl cyclase or a naturally occurring variant thereof. The composition of the present disclosure has the effect of inhibiting calcium increase in kidney cells, which is attributed to angiotensin II-induced ADP-ribosyl cyclase expression or activation, and as such can be advantageously used as a therapeutic agent for an ADP-ribosyl cyclase-mediated disease, particularly a renal disease.",20220728,NAT UNIV CHONBUK IND COOP FOUND,KIM UH-HYUN,C12Q2600/156
US-2022249122-A1,"Drive shaft design, conditioning and stabilization methods for rotational medical devices","A flexible drive shaft assembly is provided for an intravascular medical device, for example and without limitation, a blood pump, a rotational atherectomy device, or a rotational thrombectomy device. The blood pump embodiment provides an electric motor and a rotational impeller, with a rotational drive shaft disposed therebetween and configured to rotationally drive the impeller. The drive shaft is moved from an undeformed length to a deformed length when connected between the electric motor and the rotational impeller to provide a biasing force on the rotational impeller in the proximal direction to maintain the impeller in a desired axial or linear location. In other embodiments, drive shaft comprises a proximal section with a length and a spring constant and a distal section of relatively longer length and a relatively higher spring constant. In other embodiments, hypotube(s) and/or support mandrel(s) may be provided.",20220811,CARDIVASCULAR SYSTEMS,HASELMAN BENJAMIN D,A61M60/13
US-2022387158-A1,Methods and systems for vaginal therapeutic device fitting,"A variety of medical and non-medical devices are exploited by users to address a wide range of conditions. However, in the vast majority of instances the device has a limited number of options with respect to its fit for the user and its performance. Further, the determination of target performance and fit are established on a qualitative basis rather than a quantitative basis. In many instances these combinations lead to low user acceptance of the device due to the resulting performance and fit issues. Accordingly, it would enhance performance and user acceptance if a quantitative determination provided a recommended type where options exist, and this determination provided the basis of a custom designed device to the user&#39;s specific anatomical and/or performance requirements.",20221208,SHAM DEREK,SHAM DEREK,G16H20/30
US-2023233348-A1,Implantable medical device detachment system with flexible braid section,"The disclosed technology includes a detachment system for delivering an implantable medical device to a target location of a body vessel including a proximal delivery tube, a distal delivery tube, and a braid segment disposed between. The distal tube includes a proximal end, a distal end, and a compressible portion of the tube itself, between the proximal and distal ends which is axially movable from a compressed to an elongated condition. The proximal tube has a proximal end and a distal end. The braid segment is formed from a plurality of wires. An engagement system engages and deploys the implantable medical device engaged at the distal end of the distal tube.",20230727,DEPUY SYNTHES PRODUCTS INC,CLINGER MELISSA,A61F2002/9534
US-2023265183-A1,Antibody against nectin-4 and application thereof,"Provided is an antibody molecule that binds to human Nectin-4 or a fragment thereof. The antibody is obtained by means of hybridoma screening and humanization techniques, and is used for the prevention or treatment of a cancer, and may be used as a clinical lead drug molecule.",20230824,MABWELL SHANGHAI BIOSCIENCE CO LTD,REN HONGYUAN,G01N33/5759
US-2024307682-A1,Implantable medical device lead with shocking electrode,A lead of an implantable medical device (IMD) includes a shocking electrode configured to deliver high-voltage shocks for defibrillation therapy. The shocking electrode includes a base structure that has an oblong cross-sectional shape with a first side and a second side that is opposite the first side. The base structure has a set of grooves defined along the first side. The grooves in the set are configured to receive a cable assembly that is placed into the grooves in a side-loading direction.,20240919,PACESETTER INC,BORNZIN GENE A,A61N1/3752
US-2022338833-A1,Guiding instrument insertion,"A method and apparatus for identifying blood vessels in ultrasound images and displaying blood vessels in ultrasound images are described. In some embodiments, the method is implemented by a computing device and includes receiving an ultrasound image that includes one or more blood vessels, and determining, with a neural network implemented at least partially in hardware of the computing device, diameters of the one or more blood vessels in the ultrasound image. The method includes receiving a user selection of an instrument size, and indicating, in the ultrasound image, at least one blood vessel of the one or more blood vessels based on the instrument size and the diameters of the one or more blood vessels.",20221027,FUJIFILM SONOSITE INC,DHATT DAVINDER S,G06N3/045
US-2022378571-A1,Stent Graft,"The present invention belongs to the field of medical devices, and specifically relates to a stent-graft. The stent-graft has a proximal greater curvature side and a proximal lesser curvature side. The stent-graft includes a stent body, an inner cover membrane disposed on the inner side of the stent body, and an outer cover membrane disposed on the outer side of the stent body. The stent body includes a plurality of wave rings axially arranged at intervals. Alternatively arranged crests and troughs are formed on the wave rings. The outer cover membrane is provided with a first opening, and the first opening exposes at least one trough located at or nearer to the proximal greater curvature side. According to the stent-graft of the embodiments of the present invention, the exposed trough can easily hang on a vessel wall, and thereby achieving the function of preventing the stent-graft from shifting. The crests and troughs located at the proximal lesser curvature side of the stent-graft remain covered by the outer cover membrane. Therefore, the stack state of the cover membrane and the wave ring in a stent lumen is in the blood flow direction, thereby reducing the risk of thrombosis.",20221201,SHENZHEN LIFETECH ENDOVASCULAR MEDICAL CO LTD,XIAO BENHAO,A61F2250/0037
US-2023106018-A1,"Systems, devices, methods, and computer-readable media for analysis of bodily fluids and methods for its use in clinical decision-making","Systems, devices, methods, and computer-readable media may use broad-range spectrophotometric analysis and/or other sensors to generate data from bodily fluids accessed via a fluid drain. These data may be utilized to analyze therapeutic efficacy, to enable early detection of complications, and to guide the clinical management of patients being treated with a fluid drain. Advantageously, these systems, devices, methods, and computer-readable media enable clinical patient care decisions to be performed in a manner that is data-driven or quantitative in nature as opposed to qualitative—e.g., via well-defined, algorithmic-based processes and/or reliable methods. As a result, these systems, devices, methods, and computer-readable media enable improved clinical outcomes, more efficiently optimized medical care, and cost savings.",20230406,JPAV LLC,AMADIO JORDAN PAUL,B01L2400/082
US-2023301642-A1,Introducer sheath assembly for catheter systems and methods of using same,"A catheter system includes a catheter, an introducer sheath, and a tubular plug. The catheter comprises an elongate body having an expandable medical device coupled with a distal end thereof. The introducer sheath comprises an elongate body defining a lumen therein. The introducer sheath is disposed over the catheter to form a gap therebetween. The tubular plug comprises an elongate body and extends through the lumen of the introducer sheath. The tubular plug is disposed between the catheter and the introducer sheath to occlude the gap. Further, the tubular plug is releasably fixed relative to the introducer sheath such that the tubular plug is removable from the lumen to allow the expandable medical device to pass therethrough.",20230928,TC1 LLC,MULLER PAUL,A61B17/00234
US-2024245321-A1,Gait Analysis Device and Method for Providing Service Based on Gait Analysis,"The present disclosure proposes a specific technical solution that realizes an environment in which quantitative/objective gait analysis results can be obtained in the form of lifelog data without the need for complex and expensive equipment, thereby enabling the provision of various services (e.g., disease diagnosis services, home training services, content-linked services, and the like) based on gait analysis results, such as enabling disease prediction in the concept of precision medicine.",20240725,CHO HYUN SANG,CHO HYUN-SANG,A63B2220/833
US-2024260983-A1,"Systems, Apparatus and Methods for Removing Occlusions from a Vascular Vessel","A medical device for removal of an occlusion at an occlusion formation site in a vessel in a patient&#39;s body. The retrieval device having a retriever sub-system and an aspiration sub-system. The retriever sub-system having a delivery catheter and an elongated delivery member that includes proximal and distal expandable elements, the proximal element being removably engaged to the elongated delivery member and the distal element being fixed to the elongated delivery member. The proximal element adapted to move axially along the elongated delivery member in a distal direction toward the distal element when the proximal element is released from the elongated delivery member, whereby, when the proximal element is disposed on a distal side of the occlusion and the distal element is disposed on a proximal side of the occlusion, the proximal and distal elements surround, isolate and contain the occlusion between the proximal and distal elements at the occlusion formation site. The medical device also includes means for delivering pharmacological and biologically active agents to the vessel occlusion site during and after the occlusion extraction, the pharmacological agents are adapted to at least partially lyse and/or disassociate the occlusion from the vessel wall or ameliorate and/or facilitate amelioration of tissue damage to an endothelial luminal wall of the vessel, the biologically active agents are also adapted to ameliorate and/or facilitate amelioration of tissue damage to an endothelial luminal wall of the vessel. The aspiration sub-system adapted to remove at least a portion of the occlusion during extraction of the occlusion from the vessel.",20240808,RETRIEVER MEDICAL INC,HOROWITZ MICHAEL B,A61M2025/1015
US-2021054412-A1,Nano-vesicles derived from genus morganella bacteria and use thereof,"The present invention relates to vesicles derived from genus Morganella bacteria and a use thereof, the present inventors experimentally confirmed that the vesicles were significantly decreased in clinical samples derived from patients with a malignant disease such as gastric cancer, colorectal cancer, pancreatic cancer, bile duct cancer, breast cancer, ovarian cancer, bladder cancer, prostate cancer and lymphoma, a cardiovascular disease such as myocardial infarction, cardiomyopathy, atrial fibrillation, variant angina, and stroke, diabetes mellitus, and Parkinson&#39;s disease as compared to normal persons, and the vesicles suppressed the secretion of inflammatory mediators by pathogenic vesicles and suppressed the occurrence of cancer, so that the vesicles derived from genus Morganella bacteria may be usefully used for the purpose of developing a method for diagnosing a malignant disease such as gastric cancer, colorectal cancer, pancreatic cancer, bile duct cancer, breast cancer, ovarian cancer, bladder cancer, prostate cancer and lymphoma, a cardiovascular disease such as myocardial infarction, cardiomyopathy, atrial fibrillation, variant angina, and stroke, diabetes mellitus, and Parkinson&#39;s disease, and a composition for preventing or treating the diseases or an inflammatory disease",20210225,MD HEALTHCARE INC,KIM YOON-KEUN,Y02A50/30
US-2021145867-A1,Plasmonic enhanced magnetic nanoparticles hyperthermia,"A method of plasmonic enhanced magnetic nanoparticles hyperthermia (PE-MNH) of M@X core/shell nanoparticles using laser energy. Up on laser exposure of the nanoparticles in solution, the plasmonic shell will heat up and isolate each particle in their own hydrodynamic shell that lead to reducing the inter-particle interaction of the magnetic nanoparticles. This will lead to disaggregated nanoparticle with high dispersity, free movement and rotation in solution as well as giant increase in SAR when the alternating magnetic field within clinical safety limits is applied. Application of this approach has the potential to revolutionize the current treatment regimens by replacing them with plasmonic enhanced magnetic nanoparticles hyperthermia therapy that is more effective, less toxic, and impact survival.",20210520,UNIV TEXAS,EL-GENDY AHMED,B82Y5/00
US-2021162218-A1,System for measurement of impedance cardiography,"The present invention relates to a system of multiple implantable medical devices for an impedance measurement comprising a first implantable medical device, at least a second implantable medical device distinct from the first implantable medical device and; an analysis module comprising at least one amplifier and one envelope detector, one of the first implantable medical device or the second implantable medical device being a subcutaneous implantable cardioverter defibrillator or a subcutaneous loop recorder, and the other of the first implantable medical device or the second implantable medical device being an implantable endocardial device.",20210603,SORIN CRM SAS,MALDARI MIRKO,A61N1/3684
