id,title,date,assignee,word_count,date_parsed,year,type_document,text_for_rag
US-D730297-S,Surgical connector,2015-05-26,"Ethicon Endo-Surgery, Inc.",2,2015-05-26,2015,Modèle industriel,[Modèle industriel] TITLE: Surgical connector
US-D904612-S,Cartridge for linear surgical stapler,2020-12-08,Ethicon Llc,5,2020-12-08,2020,Modèle industriel,[Modèle industriel] TITLE: Cartridge for linear surgical stapler
US-D789839-S,Screw retention for interbody implant,2017-06-20,"Life Spine, Inc.",5,2017-06-20,2017,Modèle industriel,[Modèle industriel] TITLE: Screw retention for interbody implant
US-D930181-S,Medical device treatment system,2021-09-07,American Sterilizer Company,4,2021-09-07,2021,Modèle industriel,[Modèle industriel] TITLE: Medical device treatment system
US-D963852-S,Controller for medical device,2022-09-13,Memic Innovative Surgery Ltd.,4,2022-09-13,2022,Modèle industriel,[Modèle industriel] TITLE: Controller for medical device
US-D932053-S,Surgical tray for dental implants,2021-09-28,Implant Direct Sybron International Llc,5,2021-09-28,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical tray for dental implants
US-D904613-S,Cartridge for linear surgical stapler,2020-12-08,Ethicon Llc,5,2020-12-08,2020,Modèle industriel,[Modèle industriel] TITLE: Cartridge for linear surgical stapler
US-D843585-S,Medical device console,2019-03-19,General Electric Company,3,2019-03-19,2019,Modèle industriel,[Modèle industriel] TITLE: Medical device console
US-D942011-S,Spinal implant,2022-01-25,Mirus Llc,2,2022-01-25,2022,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D893717-S,Staple cartridge for surgical instrument,2020-08-18,Ethicon Llc,5,2020-08-18,2020,Modèle industriel,[Modèle industriel] TITLE: Staple cartridge for surgical instrument
US-D1003431-S,Cushion for medical device,2023-10-31,Koninklijke Philips N.V.,4,2023-10-31,2023,Modèle industriel,[Modèle industriel] TITLE: Cushion for medical device
US-D907782-S,Surgical control apparatus,2021-01-12,"Intuitive Surgical Operations, Inc.",3,2021-01-12,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical control apparatus
US-D952144-S,Surgical staple cartridge retainer with firing system authentication key,2022-05-17,Cilag Gmbh International,9,2022-05-17,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical staple cartridge retainer with firing system authentication key
US-D964564-S,Surgical staple cartridge retainer with a closure system authentication key,2022-09-20,Cilag Gmbh International,10,2022-09-20,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical staple cartridge retainer with a closure system authentication key
US-D952856-S,Dental implant,2022-05-24,Southern Implants (Pty) Ltd.,2,2022-05-24,2022,Modèle industriel,[Modèle industriel] TITLE: Dental implant
US-D1002013-S,Console for controlling surgical robot,2023-10-17,Cmr Surgical Limited,5,2023-10-17,2023,Modèle industriel,[Modèle industriel] TITLE: Console for controlling surgical robot
US-D892328-S,Intra-cardiac implant,2020-08-04,Chengjun Guo,2,2020-08-04,2020,Modèle industriel,[Modèle industriel] TITLE: Intra-cardiac implant
US-D774651-S,Combined wearable medical device and case,2016-12-20,Zoll Medical Corporation,6,2016-12-20,2016,Modèle industriel,[Modèle industriel] TITLE: Combined wearable medical device and case
US-D944400-S,Spinal implant,2022-02-22,Mirus Llc,2,2022-02-22,2022,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D956977-S,Three dimensional mastopexy implant,2022-07-05,"Tepha, Inc.",4,2022-07-05,2022,Modèle industriel,[Modèle industriel] TITLE: Three dimensional mastopexy implant
US-D833608-S,Stapling head feature for surgical stapler,2018-11-13,Ethicon Llc,6,2018-11-13,2018,Modèle industriel,[Modèle industriel] TITLE: Stapling head feature for surgical stapler
US-D733298-S,Surgical needle device,2015-06-30,Ams Research Corporation,3,2015-06-30,2015,Modèle industriel,[Modèle industriel] TITLE: Surgical needle device
US-D879290-S,Medical device,2020-03-24,Visionflex Llc,2,2020-03-24,2020,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D865175-S,Staple cartridge for surgical instrument,2019-10-29,Ethicon Llc,5,2019-10-29,2019,Modèle industriel,[Modèle industriel] TITLE: Staple cartridge for surgical instrument
US-D882783-S,Handle for surgical stapler,2020-04-28,Ethicon Llc,4,2020-04-28,2020,Modèle industriel,[Modèle industriel] TITLE: Handle for surgical stapler
US-D961069-S,Clip for surgical or medical purposes,2022-08-16,Palliare Limited,6,2022-08-16,2022,Modèle industriel,[Modèle industriel] TITLE: Clip for surgical or medical purposes
US-D893547-S,Surgical pump display screen or portion thereof with graphical user interface,2020-08-18,"DePuy Synthes Products, Inc.",11,2020-08-18,2020,Modèle industriel,[Modèle industriel] TITLE: Surgical pump display screen or portion thereof with graphical user interface
US-D933227-S,Surgical tool,2021-10-12,"Onpoint Vision, Inc.",2,2021-10-12,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical tool
US-D962433-S,Implant placement guide,2022-08-30,"Intarcia Therapeutics, Inc.",3,2022-08-30,2022,Modèle industriel,[Modèle industriel] TITLE: Implant placement guide
US-D947036-S,Implant package,2022-03-29,Dentsply Sirona Inc.,2,2022-03-29,2022,Modèle industriel,[Modèle industriel] TITLE: Implant package
US-D759819-S,Glenoid implant,2016-06-21,Catalyst Orthopaedics Llc,2,2016-06-21,2016,Modèle industriel,[Modèle industriel] TITLE: Glenoid implant
US-D806245-S,Medical device handle,2017-12-26,The Spectranetics Corporation,3,2017-12-26,2017,Modèle industriel,[Modèle industriel] TITLE: Medical device handle
US-D950728-S,Surgical staple cartridge,2022-05-03,Cilag Gmbh International,3,2022-05-03,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical staple cartridge
US-D855184-S,Implant for bone fixation,2019-07-30,"Life Spine, Inc.",4,2019-07-30,2019,Modèle industriel,[Modèle industriel] TITLE: Implant for bone fixation
US-D833624-S,Medical device,2018-11-13,Masimo Corporation,2,2018-11-13,2018,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D809139-S,Handle for a medical device,2018-01-30,"Evalve, Inc.",5,2018-01-30,2018,Modèle industriel,[Modèle industriel] TITLE: Handle for a medical device
US-D910177-S,Implant,2021-02-09,"Arrowhead Medical Device Technologies, Llc",1,2021-02-09,2021,Modèle industriel,[Modèle industriel] TITLE: Implant
US-D923797-S,Medical device console,2021-06-29,Galil Medical Inc.,3,2021-06-29,2021,Modèle industriel,[Modèle industriel] TITLE: Medical device console
US-D803396-S,Handle for an endoscopic surgical instrument,2017-11-21,Ethicon Llc,6,2017-11-21,2017,Modèle industriel,[Modèle industriel] TITLE: Handle for an endoscopic surgical instrument
US-D851256-S,Medical device electronic module,2019-06-11,"Dexcom, Inc.",4,2019-06-11,2019,Modèle industriel,[Modèle industriel] TITLE: Medical device electronic module
US-D749223-S,Surgical robot arm on a cart,2016-02-09,KB Medical SA,6,2016-02-09,2016,Modèle industriel,[Modèle industriel] TITLE: Surgical robot arm on a cart
US-D865174-S,Shaft assembly for surgical stapler,2019-10-29,Ethicon Llc,5,2019-10-29,2019,Modèle industriel,[Modèle industriel] TITLE: Shaft assembly for surgical stapler
US-D890926-S,Intervertebral implant,2020-07-21,Tyber Medical Llc,2,2020-07-21,2020,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D857201-S,Implant for bone fixation,2019-08-20,"Life Spine, Inc.",4,2019-08-20,2019,Modèle industriel,[Modèle industriel] TITLE: Implant for bone fixation
US-D991971-S,Operating room team display screen with a graphical user interface of a bed and surgical robotic arms icons,2023-07-11,Covidien Lp,18,2023-07-11,2023,Modèle industriel,[Modèle industriel] TITLE: Operating room team display screen with a graphical user interface of a bed and surgical robotic arms icons
US-D784536-S,Medical device,2017-04-18,Pfm Medical Ag,2,2017-04-18,2017,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D938457-S,Medical device display screen or portion thereof with graphical user interface,2021-12-14,"Tandem Diabetes Care, Inc.",11,2021-12-14,2021,Modèle industriel,[Modèle industriel] TITLE: Medical device display screen or portion thereof with graphical user interface
US-D846738-S,Implant delivery apparatus,2019-04-23,Glaukos Corporation,3,2019-04-23,2019,Modèle industriel,[Modèle industriel] TITLE: Implant delivery apparatus
US-D940327-S,Combination medical device receiver and display,2022-01-04,"Dexcom, Inc.",6,2022-01-04,2022,Modèle industriel,[Modèle industriel] TITLE: Combination medical device receiver and display
US-D872753-S,Display screen or portion thereof with graphical user interface for a medical device,2020-01-14,MAQUET CARDIOPULMONARY GmbH,13,2020-01-14,2020,Modèle industriel,[Modèle industriel] TITLE: Display screen or portion thereof with graphical user interface for a medical device
US-D942623-S,Spinal implant,2022-02-01,Mirus Llc,2,2022-02-01,2022,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D983973-S,Surgical stapler,2023-04-18,Cilag Gmbh International,2,2023-04-18,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical stapler
US-D983379-S,Medical device,2023-04-11,Stryker Corporation,2,2023-04-11,2023,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D869655-S,Surgical fastener cartridge,2019-12-10,Ethicon Llc,3,2019-12-10,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener cartridge
US-D854151-S,Surgical instrument shaft,2019-07-16,Ethicon Llc,3,2019-07-16,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument shaft
US-D751192-S,Medical device,2016-03-08,Health Line International Corp.,2,2016-03-08,2016,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D857894-S,Surgical fixation system,2019-08-27,"Nuvasive, Inc.",3,2019-08-27,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical fixation system
US-D857199-S,Orthopedic implant,2019-08-20,"Biomedical Enterprises, Inc.",2,2019-08-20,2019,Modèle industriel,[Modèle industriel] TITLE: Orthopedic implant
US-D738498-S,Sacroiliac surgical guide,2015-09-08,"George Frey, Benjamin Majors, Geoff Lai",3,2015-09-08,2015,Modèle industriel,[Modèle industriel] TITLE: Sacroiliac surgical guide
US-D775336-S,Surgical fastener,2016-12-27,"Ethicon Endo-Surgery, Llc",2,2016-12-27,2016,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener
US-D763442-S,Handpiece for surgical instrument,2016-08-09,"Ethicon Endo-Surgery, Llc",4,2016-08-09,2016,Modèle industriel,[Modèle industriel] TITLE: Handpiece for surgical instrument
US-D802768-S,Medical device,2017-11-14,"Welch Allyn, Inc.",2,2017-11-14,2017,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D908216-S,Surgical instrument,2021-01-19,Ethicon Llc,2,2021-01-19,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument
US-D831058-S,Medical device control unit display screen with graphical user interface,2018-10-16,Ekos Corporation,10,2018-10-16,2018,Modèle industriel,[Modèle industriel] TITLE: Medical device control unit display screen with graphical user interface
US-D877901-S,Surgical tool,2020-03-10,Coloplast A/S,2,2020-03-10,2020,Modèle industriel,[Modèle industriel] TITLE: Surgical tool
US-D831829-S,Dental implant reusable bite registration post,2018-10-23,Dene S. LeBeau,6,2018-10-23,2018,Modèle industriel,[Modèle industriel] TITLE: Dental implant reusable bite registration post
US-D886119-S,Display screen or portion thereof with a graphical user interface for an ultrasonic surgical console,2020-06-02,Stryker Corporation,15,2020-06-02,2020,Modèle industriel,[Modèle industriel] TITLE: Display screen or portion thereof with a graphical user interface for an ultrasonic surgical console
US-D950734-S,Surgical robot,2022-05-03,"Curexo, Inc.",2,2022-05-03,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical robot
US-D896372-S,Connector for medical device,2020-09-15,"Karl Storz Endovision, Inc.",4,2020-09-15,2020,Modèle industriel,[Modèle industriel] TITLE: Connector for medical device
US-D870294-S,Medical device,2019-12-17,"Vioptix, Inc.",2,2019-12-17,2019,Modèle industriel,[Modèle industriel] TITLE: Medical device
US-D809138-S,Handle for surgical and dental tool,2018-01-30,Premier Dental Products Company,6,2018-01-30,2018,Modèle industriel,[Modèle industriel] TITLE: Handle for surgical and dental tool
US-D719651-S,Handle for a medical device,2014-12-16,Ambu A/S,5,2014-12-16,2014,Modèle industriel,[Modèle industriel] TITLE: Handle for a medical device
US-D870288-S,Spinal interbody fusion implant,2019-12-17,The Regents Of The University Of California,4,2019-12-17,2019,Modèle industriel,[Modèle industriel] TITLE: Spinal interbody fusion implant
US-D884178-S,Orthopedic implant,2020-05-12,"Life Spine, Inc.",2,2020-05-12,2020,Modèle industriel,[Modèle industriel] TITLE: Orthopedic implant
US-D759248-S,Intervertebral implant,2016-06-14,"Nuvasive, Inc.",2,2016-06-14,2016,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D897537-S,Surgical apparatus,2020-09-29,"Intuitive Surgical Operations, Inc.",2,2020-09-29,2020,Modèle industriel,[Modèle industriel] TITLE: Surgical apparatus
US-D933820-S,Handle for surgical device,2021-10-19,Olympus Corporation,4,2021-10-19,2021,Modèle industriel,[Modèle industriel] TITLE: Handle for surgical device
US-D821593-S,Electro-dermal patch for use as a medical device,2018-06-26,"Elira, Inc.",8,2018-06-26,2018,Modèle industriel,[Modèle industriel] TITLE: Electro-dermal patch for use as a medical device
US-D1049376-S,Surgical instrument,2024-10-29,Cilag Gmbh International,2,2024-10-29,2024,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument
US-D980976-S,Surgical cannula guide,2023-03-14,"New York Society For The Relief Of The Ruptured And Crippled, Maintaining The Hospital For Special Surgery",3,2023-03-14,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical cannula guide
US-D1012284-S,Medical device system and removable connectors set,2024-01-23,"Boston Scientific Scimed, Inc.",7,2024-01-23,2024,Modèle industriel,[Modèle industriel] TITLE: Medical device system and removable connectors set
US-D824518-S,Spinal implant,2018-07-31,"K2M, Inc.",2,2018-07-31,2018,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D840360-S,Hand controller for controlling surgical robot,2019-02-12,Cmr Surgical Limited,6,2019-02-12,2019,Modèle industriel,[Modèle industriel] TITLE: Hand controller for controlling surgical robot
US-D1040348-S,Lip implant,2024-08-27,"Surgisil, L.L.P.",2,2024-08-27,2024,Modèle industriel,[Modèle industriel] TITLE: Lip implant
US-D870279-S,Medical device handle,2019-12-17,Koninklijke Philips N.V.,3,2019-12-17,2019,Modèle industriel,[Modèle industriel] TITLE: Medical device handle
US-D820441-S,Surgical handpiece nosecone,2018-06-12,Integra Lifesciences Nr Ireland Limited,3,2018-06-12,2018,Modèle industriel,[Modèle industriel] TITLE: Surgical handpiece nosecone
US-D898197-S,Spinal implant,2020-10-06,Mirus Llc,2,2020-10-06,2020,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D942018-S,Medical device console,2022-01-25,Galil Medical Inc.,3,2022-01-25,2022,Modèle industriel,[Modèle industriel] TITLE: Medical device console
US-D1040821-S,Display screen or portion thereof with animated graphical user interface of a base station for a surgical probe,2024-09-03,Endomagnetics Ltd,18,2024-09-03,2024,Modèle industriel,[Modèle industriel] TITLE: Display screen or portion thereof with animated graphical user interface of a base station for a surgical probe
US-D846119-S,Lighted surgical retractor base,2019-04-16,Medtronic Advanced Energy Llc,4,2019-04-16,2019,Modèle industriel,[Modèle industriel] TITLE: Lighted surgical retractor base
US-D733303-S,Intervertebral implant,2015-06-30,"Nuvasive, Inc.",2,2015-06-30,2015,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D1009930-S,Display screen of a medical device with icon,2024-01-02,Gambro Lundia Ab,8,2024-01-02,2024,Modèle industriel,[Modèle industriel] TITLE: Display screen of a medical device with icon
US-D888946-S,Medical device handle,2020-06-30,Abbott Cardiovascular Systems Inc.,3,2020-06-30,2020,Modèle industriel,[Modèle industriel] TITLE: Medical device handle
US-D831831-S,Base for medical device electronic module,2018-10-23,"Dexcom, Inc.",6,2018-10-23,2018,Modèle industriel,[Modèle industriel] TITLE: Base for medical device electronic module
US-D914882-S,Medical device inserter,2021-03-30,"Dexcom, Inc.",3,2021-03-30,2021,Modèle industriel,[Modèle industriel] TITLE: Medical device inserter
US-D834193-S,Surgical stent,2018-11-20,"St. Jude Medical, Cardiology Division, Inc.",2,2018-11-20,2018,Modèle industriel,[Modèle industriel] TITLE: Surgical stent
US-D928969-S,Surgical robot arm,2021-08-24,Cmr Surgical Limited,3,2021-08-24,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical robot arm
US-D858767-S,Surgical clip applier device,2019-09-03,Ethicon Llc,4,2019-09-03,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical clip applier device
US-D958151-S,Display screen with a graphical user interface for surgical planning,2022-07-19,"Carlsmed, Inc.",10,2022-07-19,2022,Modèle industriel,[Modèle industriel] TITLE: Display screen with a graphical user interface for surgical planning
US-D1010816-S,User-wearable holder for medical device,2024-01-09,"Tandem Diabetes Care, Inc.",5,2024-01-09,2024,Modèle industriel,[Modèle industriel] TITLE: User-wearable holder for medical device
US-D858769-S,Intervertebral implant,2019-09-03,"Nuvasive, Inc.",2,2019-09-03,2019,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D891618-S,Orthopedic implant,2020-07-28,"DePuy Synthes Products, Inc.",2,2020-07-28,2020,Modèle industriel,[Modèle industriel] TITLE: Orthopedic implant
US-D808016-S,Healing scan body for dental implant,2018-01-16,"Truabutment Korea, Inc.",6,2018-01-16,2018,Modèle industriel,[Modèle industriel] TITLE: Healing scan body for dental implant
US-D847336-S,Parallel surgical guide spacer,2019-04-30,Sicage Llc,4,2019-04-30,2019,Modèle industriel,[Modèle industriel] TITLE: Parallel surgical guide spacer
US-D927689-S,Three dimensional mastopexy implant,2021-08-10,"Tepha, Inc.",4,2021-08-10,2021,Modèle industriel,[Modèle industriel] TITLE: Three dimensional mastopexy implant
US-D906355-S,Display screen or portion thereof with a graphical user interface for a surgical instrument,2020-12-29,Ethicon Llc,14,2020-12-29,2020,Modèle industriel,[Modèle industriel] TITLE: Display screen or portion thereof with a graphical user interface for a surgical instrument
US-D914201-S,Medical connector contamination prevention device,2021-03-23,"Splash Medical Devices, LLC",5,2021-03-23,2021,Modèle industriel,[Modèle industriel] TITLE: Medical connector contamination prevention device
US-D875931-S,Parallel surgical guide spacer,2020-02-18,Sicage Llc,4,2020-02-18,2020,Modèle industriel,[Modèle industriel] TITLE: Parallel surgical guide spacer
US-D1006991-S,Surgical bur assembly,2023-12-05,Stryker European Operations Limited,3,2023-12-05,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical bur assembly
US-D785794-S,Adapter for a surgical device,2017-05-02,"Gyrus Acmi, Inc.",5,2017-05-02,2017,Modèle industriel,[Modèle industriel] TITLE: Adapter for a surgical device
US-D914878-S,Surgical instrument anvil,2021-03-30,Ethicon Llc,3,2021-03-30,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument anvil
US-D998802-S,Surgical robot body,2023-09-12,"Curexo, Inc.",3,2023-09-12,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical robot body
US-D828557-S,Surgical clip,2018-09-11,Conmed Corporation,2,2018-09-11,2018,Modèle industriel,[Modèle industriel] TITLE: Surgical clip
US-D942624-S,Spinal implant,2022-02-01,Mirus Llc,2,2022-02-01,2022,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D836199-S,End effector for a surgical stapler,2018-12-18,Ethicon Llc,6,2018-12-18,2018,Modèle industriel,[Modèle industriel] TITLE: End effector for a surgical stapler
US-D767762-S,Intervertebral implant,2016-09-27,"Nuvasive, Inc.",2,2016-09-27,2016,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D735336-S,Intervertebral implant,2015-07-28,"Nuvasive, Inc.",2,2015-07-28,2015,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D884180-S,Bone wedge implant,2020-05-12,"Paragon 28, Inc.",3,2020-05-12,2020,Modèle industriel,[Modèle industriel] TITLE: Bone wedge implant
US-D976399-S,Surgical instrument,2023-01-24,Microbot Medical Ltd.,2,2023-01-24,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument
US-D970015-S,Surgical robot arm,2022-11-15,"Curexo, Inc.",3,2022-11-15,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical robot arm
US-RE48501-E,Cage spinal implant,2021-04-06,"Providence Medical Technology, Inc.",3,2021-04-06,2021,Modèle industriel,[Modèle industriel] TITLE: Cage spinal implant
US-D734475-S,Surgical console,2015-07-14,Abbott Medical Optics Inc.,2,2015-07-14,2015,Modèle industriel,[Modèle industriel] TITLE: Surgical console
US-D856345-S,Display screen with graphical user interface for a multimode surgical console,2019-08-13,Stryker Corporation,11,2019-08-13,2019,Modèle industriel,[Modèle industriel] TITLE: Display screen with graphical user interface for a multimode surgical console
US-D892141-S,Display screen with graphic user interface for a surgical console,2020-08-04,Stryker Corporation,10,2020-08-04,2020,Modèle industriel,[Modèle industriel] TITLE: Display screen with graphic user interface for a surgical console
US-D705929-S,Surgical guide,2014-05-27,George A. Frey,2,2014-05-27,2014,Modèle industriel,[Modèle industriel] TITLE: Surgical guide
US-D672038-S,Surgical guide,2012-12-04,George Frey,2,2012-12-04,2012,Modèle industriel,[Modèle industriel] TITLE: Surgical guide
US-D700322-S,Intervertebral surgical tool,2014-02-25,Jeffrey B. Kleiner,3,2014-02-25,2014,Modèle industriel,[Modèle industriel] TITLE: Intervertebral surgical tool
US-D578644-S,Medical device delivery handle,2008-10-14,Abbott Laboratories,4,2008-10-14,2008,Modèle industriel,[Modèle industriel] TITLE: Medical device delivery handle
US-D661803-S,User interface for a surgical instrument,2012-06-12,"Ethicon Endo-Surgery, Inc.",6,2012-06-12,2012,Modèle industriel,[Modèle industriel] TITLE: User interface for a surgical instrument
US-D708742-S,Handle for medical device,2014-07-08,Karl Storz Gmbh & Co. Kg,4,2014-07-08,2014,Modèle industriel,[Modèle industriel] TITLE: Handle for medical device
US-D650074-S,Surgical instrument,2011-12-06,"Ethicon Endo-Surgery, Inc.",2,2011-12-06,2011,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument
US-D685907-S,Handle for a surgical instrument,2013-07-09,"Imds Corporation, Adrian Park",5,2013-07-09,2013,Modèle industriel,[Modèle industriel] TITLE: Handle for a surgical instrument
US-D706433-S,Medical device,2014-06-03,"Activator Methods International, Ltd",2,2014-06-03,2014,Modèle industriel,[Modèle industriel] TITLE: Medical device
